8.833999999999999839e-03,1.605900000000000036e-02
6.819999999999999674e-03,1.418600000000000069e-02
5.078000000000000048e-03,1.230499999999999997e-02
3.599000000000000202e-03,1.041199999999999938e-02
2.377999999999999906e-03,8.505999999999999672e-03
1.412999999999999977e-03,6.590000000000000371e-03
7.039999999999999817e-04,4.674000000000000203e-03
2.460000000000000164e-04,2.773999999999999990e-03
2.599999999999999840e-05,9.100000000000000016e-04
2.599999999999999840e-05,-9.100000000000000016e-04
2.460000000000000164e-04,-2.773999999999999990e-03
7.039999999999999817e-04,-4.674000000000000203e-03
1.412999999999999977e-03,-6.590000000000000371e-03
2.377999999999999906e-03,-8.505999999999999672e-03
3.599000000000000202e-03,-1.041199999999999938e-02
5.078000000000000048e-03,-1.230499999999999997e-02
6.819999999999999674e-03,-1.418600000000000069e-02
8.833999999999999839e-03,-1.605900000000000036e-02
1.114000000000000060e-02,-1.793399999999999855e-02
1.376299999999999919e-02,-1.981899999999999981e-02
1.674300000000000094e-02,-2.172599999999999879e-02
2.012900000000000106e-02,-2.366800000000000154e-02
2.398600000000000038e-02,-2.565699999999999925e-02
2.839600000000000110e-02,-2.770600000000000146e-02
3.345900000000000263e-02,-2.982599999999999835e-02
3.929499999999999660e-02,-3.202599999999999891e-02
4.603299999999999753e-02,-3.431000000000000022e-02
5.380200000000000260e-02,-3.666799999999999921e-02
6.270499999999999685e-02,-3.907900000000000262e-02
7.278199999999999947e-02,-4.150299999999999823e-02
8.399299999999999822e-02,-4.388800000000000340e-02
9.621799999999999797e-02,-4.617700000000000277e-02
1.092899999999999983e-01,-4.832299999999999790e-02
1.230340000000000045e-01,-5.029399999999999843e-02
1.372970000000000024e-01,-5.207099999999999923e-02
1.519580000000000097e-01,-5.364900000000000224e-02
1.669279999999999931e-01,-5.503000000000000252e-02
1.821429999999999993e-01,-5.622200000000000114e-02
1.975540000000000074e-01,-5.723199999999999815e-02
2.131280000000000119e-01,-5.806999999999999662e-02
2.288389999999999869e-01,-5.874700000000000061e-02
2.446679999999999966e-01,-5.927000000000000324e-02
2.605979999999999963e-01,-5.964900000000000063e-02
2.766170000000000018e-01,-5.989099999999999979e-02
2.927150000000000030e-01,-6.000599999999999684e-02
3.088830000000000187e-01,-5.999899999999999678e-02
3.251140000000000141e-01,-5.987800000000000067e-02
3.414010000000000100e-01,-5.964799999999999963e-02
3.577389999999999737e-01,-5.931700000000000167e-02
3.741229999999999833e-01,-5.888800000000000284e-02
3.905489999999999795e-01,-5.836800000000000321e-02
4.070139999999999869e-01,-5.776099999999999984e-02
4.235129999999999728e-01,-5.707199999999999773e-02
4.400439999999999907e-01,-5.630500000000000088e-02
4.566049999999999831e-01,-5.546299999999999841e-02
4.731920000000000015e-01,-5.455100000000000227e-02
4.898029999999999884e-01,-5.357200000000000156e-02
5.064359999999999973e-01,-5.253000000000000030e-02
5.230900000000000549e-01,-5.142599999999999949e-02
5.397610000000000463e-01,-5.026499999999999718e-02
5.564489999999999714e-01,-4.904800000000000132e-02
5.731519999999999948e-01,-4.777800000000000102e-02
5.898670000000000302e-01,-4.645799999999999930e-02
6.065939999999999666e-01,-4.508800000000000308e-02
6.233319999999999972e-01,-4.367200000000000248e-02
6.400780000000000358e-01,-4.221099999999999852e-02
6.568300000000000249e-01,-4.070599999999999913e-02
6.735889999999999933e-01,-3.915899999999999936e-02
6.903519999999999657e-01,-3.757100000000000023e-02
7.071190000000000531e-01,-3.594300000000000272e-02
7.238869999999999472e-01,-3.427600000000000091e-02
7.406559999999999810e-01,-3.257000000000000173e-02
7.574239999999999862e-01,-3.082599999999999923e-02
7.741900000000000448e-01,-2.904599999999999890e-02
7.909530000000000172e-01,-2.722799999999999873e-02
8.077109999999999568e-01,-2.537299999999999972e-02
8.244620000000000282e-01,-2.348199999999999940e-02
8.412020000000000053e-01,-2.155400000000000024e-02
8.579259999999999664e-01,-1.958999999999999977e-02
8.746239999999999570e-01,-1.759099999999999900e-02
8.912750000000000394e-01,-1.555800000000000065e-02
9.078370000000000051e-01,-1.349700000000000032e-02
9.242219999999999880e-01,-1.141799999999999933e-02
9.402639999999999887e-01,-9.343999999999999875e-03
9.556660000000000155e-01,-7.315000000000000321e-03
9.699919999999999654e-01,-5.394000000000000357e-03
9.827749999999999542e-01,-3.651000000000000165e-03
9.937230000000000230e-01,-2.137000000000000011e-03
1.000000000000000000e+00,-1.260000000000000052e-03
